2416 2514 0.961 | 2114 2688 0.786
4308 4592 0.938 | 3656 4772 0.766
6676 7110 0.939 | 5424 6972 0.778
8988 9560 0.940 | 7642 8932 0.856
11746 12010 0.978 | 9608 10892 0.882
14132 14950 0.945 | 11890 13244 0.898
17022 17400 0.978 | 13982 15204 0.920
18448 18870 0.978 | 15266 16380 0.932
20088 20830 0.964 | 16752 17948 0.933
21678 22300 0.972 | 18198 19124 0.952
24016 24750 0.970 | 19782 21084 0.938
25068 26578 0.943 | 21062 22598 0.932
26560 27916 0.951 | 21828 23720 0.920
27908 29386 0.950 | 22808 24896 0.916
30262 31346 0.965 | 24484 26464 0.925
31314 32816 0.954 | 25326 27640 0.916
32550 33796 0.963 | 26310 28424 0.926
34866 36246 0.962 | 27630 30384 0.909
36356 37716 0.964 | 29106 31560 0.922
37810 39186 0.965 | 30364 32736 0.928
39294 40166 0.978 | 31494 33520 0.940
39962 41146 0.971 | 31920 34304 0.931
42236 43106 0.980 | 33960 35872 0.947
43606 44576 0.978 | 34960 37048 0.944
44950 46046 0.976 | 36110 38224 0.945
46148 47516 0.971 | 37038 39400 0.940
47916 48986 0.978 | 38468 40576 0.948
50164 50946 0.985 | 39976 42144 0.949
51304 52906 0.970 | 41164 43712 0.942
53294 54376 0.980 | 42600 44888 0.949
54566 55846 0.977 | 43622 46064 0.947
55682 56826 0.980 | 44548 46848 0.951
58218 59276 0.982 | 46452 48808 0.952
59634 60746 0.982 | 47616 49984 0.953
61480 62706 0.980 | 49136 51552 0.953
63492 64666 0.982 | 51188 53120 0.964
65198 66626 0.979 | 52304 54688 0.956
66408 67606 0.982 | 53128 55472 0.958
67844 69076 0.982 | 54060 56648 0.954
69228 71036 0.975 | 55504 58216 0.953
70504 72016 0.979 | 56786 59000 0.962
71982 72996 0.986 | 58116 59784 0.972
73138 74466 0.982 | 59116 60960 0.970
74176 75446 0.983 | 60064 61744 0.973
75486 77406 0.975 | 61420 63312 0.970
76576 78876 0.971 | 62562 64488 0.970
77706 80082 0.970 | 63982 65556 0.976
78490 80930 0.970 | 64672 66286 0.976
79612 81678 0.975 | 65814 66952 0.983
80366 82884 0.970 | 66320 68020 0.975
81958 84154 0.974 | 67110 69068 0.972
83494 85524 0.976 | 68266 70180 0.973
85028 86994 0.977 | 69446 71356 0.973
86088 87974 0.979 | 70336 72140 0.975
86766 88954 0.975 | 70510 72924 0.967
87752 89934 0.976 | 70980 73708 0.963
88528 90424 0.979 | 71844 74100 0.970
89686 90914 0.986 | 72742 74492 0.977
90784 92384 0.983 | 73864 75668 0.976
92818 94344 0.984 | 75252 77236 0.974
93888 95814 0.980 | 76520 78412 0.976
94684 96304 0.983 | 77088 78804 0.978
96676 98264 0.984 | 78516 80372 0.977
97136 99244 0.979 | 79294 81156 0.977
97736 100224 0.975 | 79798 81940 0.974
98870 101204 0.977 | 80628 82724 0.975
99592 102184 0.975 | 81438 83508 0.975
101438 104012 0.975 | 83030 85022 0.977
102850 105966 0.971 | 84654 86756 0.976
103612 106746 0.971 | 85536 87412 0.979
105068 108274 0.970 | 87086 88734 0.981
105630 109022 0.969 | 87754 89400 0.982
106898 110518 0.967 | 88808 90732 0.979
108002 111234 0.971 | 89774 91408 0.982
108680 112730 0.964 | 90738 92740 0.978
109876 114194 0.962 | 91860 94082 0.976
110330 114910 0.960 | 92550 94758 0.977
111712 115268 0.969 | 93494 95096 0.983
113062 116048 0.974 | 94438 95752 0.986
113704 117870 0.965 | 95460 97432 0.980
116128 119398 0.973 | 96844 98754 0.981
116404 119788 0.972 | 97214 99082 0.981
116880 120536 0.970 | 97368 99748 0.976
118660 122096 0.972 | 98836 101060 0.978
119914 123918 0.968 | 100386 102740 0.977
120812 124308 0.972 | 100850 103068 0.978
122062 125056 0.976 | 101678 103734 0.980
122282 125446 0.975 | 102136 104062 0.981
123658 126520 0.977 | 103450 105076 0.985
125190 128080 0.977 | 104508 106388 0.982
125044 128470 0.973 | 104402 106716 0.978
126042 128828 0.978 | 105018 107054 0.981
126502 129576 0.976 | 105696 107720 0.981
126758 129966 0.975 | 105722 108048 0.978
127592 131072 0.973 | 106906 109052 0.980
128274 131430 0.976 | 107276 109390 0.981
129764 132568 0.979 | 108572 110384 0.984
130362 133316 0.978 | 108998 111050 0.982
131006 134454 0.974 | 109852 112044 0.980
131490 134844 0.975 | 110638 112372 0.985
131880 135202 0.975 | 110990 112710 0.985
132966 136308 0.975 | 111876 113714 0.984
133678 136666 0.978 | 111862 114052 0.981
135036 137446 0.982 | 112686 114708 0.982
135078 137836 0.980 | 112986 115036 0.982
135870 138974 0.978 | 113490 116030 0.978
136714 140144 0.976 | 114140 117014 0.975
137952 140534 0.982 | 115188 117342 0.982
138730 141672 0.979 | 115796 118336 0.979
140282 142452 0.985 | 117180 118992 0.985
141142 143200 0.986 | 117732 119658 0.984
141622 144338 0.981 | 118546 120652 0.983
142450 145118 0.982 | 118930 121308 0.980
142724 145508 0.981 | 119266 121636 0.981
143386 145898 0.983 | 119686 121964 0.981
143802 146614 0.981 | 120056 122640 0.979
144106 146972 0.980 | 120294 122978 0.978
145734 148142 0.984 | 121026 123962 0.976
146234 148632 0.984 | 120832 124354 0.972
146874 149122 0.985 | 121316 124746 0.973
148432 150002 0.990 | 122554 125466 0.977
148164 150392 0.985 | 122794 125794 0.976
149238 151662 0.984 | 123424 126842 0.973
149980 152542 0.983 | 124034 127562 0.972
151090 153522 0.984 | 125004 128346 0.974
151570 154302 0.982 | 125578 129002 0.973
153084 155082 0.987 | 126744 129658 0.978
154368 156320 0.988 | 127628 130716 0.976
155292 157100 0.988 | 128360 131372 0.977
155142 157590 0.984 | 128852 131764 0.978
155190 157980 0.982 | 128914 132092 0.976
155430 158338 0.982 | 129476 132430 0.978
156350 159086 0.983 | 130250 133096 0.979
157430 159866 0.985 | 131220 133752 0.981
158294 161394 0.981 | 132374 135074 0.980
159446 162174 0.983 | 132606 135730 0.977
160876 162922 0.987 | 133418 136396 0.978
162096 164060 0.988 | 134712 137390 0.981
162432 164840 0.985 | 134656 138046 0.975
163360 165720 0.986 | 135522 138766 0.977
164198 166210 0.988 | 136516 139158 0.981
164580 166700 0.987 | 136654 139550 0.979
165238 167090 0.989 | 137262 139878 0.981
165704 167580 0.989 | 137586 140270 0.981
166316 168750 0.986 | 138052 141254 0.977
168134 170182 0.988 | 139240 142606 0.976
169008 171162 0.987 | 139760 143390 0.975
168864 171552 0.984 | 139996 143718 0.974
171234 172922 0.990 | 141040 144830 0.974
172298 174292 0.989 | 142268 145942 0.975
173222 175072 0.989 | 143124 146598 0.976
173780 176052 0.987 | 143330 147382 0.973
174336 176542 0.988 | 143788 147774 0.973
175320 177422 0.988 | 144886 148494 0.976
175828 177812 0.989 | 145728 148822 0.979
176244 178982 0.985 | 146440 149806 0.978
176700 179372 0.985 | 146948 150134 0.979
177470 179762 0.987 | 147714 150462 0.982
178188 180932 0.985 | 148248 151446 0.979
179402 182102 0.985 | 149150 152430 0.978
180350 182882 0.986 | 149898 153086 0.979
180846 183272 0.987 | 149878 153414 0.977
180936 183662 0.985 | 150266 153742 0.977
181588 184442 0.985 | 150734 154398 0.976
181818 185222 0.982 | 151184 155054 0.975
182418 185222 0.985 | 152294 155054 0.982
182864 186002 0.983 | 152832 155710 0.982
183756 186782 0.984 | 154040 156366 0.985
184510 187952 0.982 | 154576 157350 0.982
185176 187952 0.985 | 155198 157350 0.986
185346 188732 0.982 | 155378 158006 0.983
185788 189512 0.980 | 156238 158662 0.985
186898 191008 0.978 | 156952 159994 0.981
187232 191398 0.978 | 157470 160322 0.982
187250 191398 0.978 | 157556 160322 0.983
188446 192568 0.979 | 158220 161306 0.981
188604 192958 0.977 | 158386 161634 0.980
188964 193316 0.977 | 159206 161972 0.983
189276 194064 0.975 | 159434 162638 0.980
189902 194422 0.977 | 160078 162976 0.982
190366 194812 0.977 | 160378 163304 0.982
191404 195202 0.981 | 160460 163632 0.981
191796 195592 0.981 | 160644 163960 0.980
192146 195592 0.982 | 160852 163960 0.981
192680 195982 0.983 | 161388 164288 0.982
193442 196762 0.983 | 162478 164944 0.985
193588 197152 0.982 | 162740 165272 0.985
194006 197932 0.980 | 162854 165928 0.981
194800 197932 0.984 | 163260 165928 0.984
195150 198322 0.984 | 163148 166256 0.981
195930 199102 0.984 | 163676 166912 0.981
197316 199882 0.987 | 164932 167568 0.984
198576 200662 0.990 | 165944 168224 0.986
198572 201442 0.986 | 166254 168880 0.984
200206 203002 0.986 | 167352 170192 0.983
200022 203002 0.985 | 167270 170192 0.983
200768 203782 0.985 | 167434 170848 0.980
201646 204172 0.988 | 168366 171176 0.984
201606 204562 0.986 | 168400 171504 0.982
202072 205342 0.984 | 168876 172160 0.981
203284 205732 0.988 | 169824 172488 0.985
202780 205732 0.986 | 169688 172488 0.984
203166 206122 0.986 | 169670 172816 0.982
203716 206122 0.988 | 169714 172816 0.982
204168 206902 0.987 | 170148 173472 0.981
204308 207292 0.986 | 170508 173800 0.981
204646 207292 0.987 | 170496 173800 0.981
206078 208462 0.989 | 171196 174784 0.979
206674 209242 0.988 | 171188 175440 0.976
206990 209632 0.987 | 171570 175768 0.976
208066 210412 0.989 | 172824 176424 0.980
208120 211192 0.985 | 173012 177080 0.977
208224 211192 0.986 | 173164 177080 0.978
209462 211582 0.990 | 173802 177408 0.980
210078 212752 0.987 | 173818 178392 0.974
211132 213532 0.989 | 174862 179048 0.977
211492 213922 0.989 | 175304 179376 0.977
212230 214702 0.988 | 176482 180032 0.980
212656 215092 0.989 | 176864 180360 0.981
